id,display_name,pp_tot,median_income
71121,New York City,8426743,33078.00
14633,Los Angeles,3900794,28761.00
32868,Chicago,2717534,29486.00
94729,Houston,2217706,28503.00
83440,Philadelphia,1555072,22919.00
5545,Phoenix,1514208,24231.00
95443,San Antonio,1413881,22960.00
15028,San Diego,1359791,33902.00
94406,Dallas,1260688,28693.00
15038,San Jose,1000860,35811.00
94115,Austin,887061,34015.00
23099,Jacksonville,846951,25554.00
35886,Indianapolis,841449,24280.00
15032,San Francisco,840763,52220.00
74871,Columbus,811943,
94565,Fort Worth,796614,25225.00
58154,Charlotte,774807,
48545,Detroit,690074,15038.00
94499,El Paso,676325,20154.00
88346,Memphis,657167,22121.00
134680,Seattle,653017,45673.00
42798,Boston,650281,35728.00
16785,Denver,649654,35218.00
294012,Washington D.C.,647484,47675.00
88371,Nashville-Davidson,634512,28373.00
44475,Baltimore,622454,25707.00
39359,Louisville/Jefferson County,608732,26893.00
65358,Las Vegas,605097,25760.00
78833,Portland,602568,
77451,Oklahoma City,600729,
136744,Milwaukee,599498,20018.00
64159,Albuquerque,556092,26683.00
5671,Tucson,528374,20481.00
14344,Fresno,510451,19465.00
15010,Sacramento,480566,26208.00
14626,Long Beach,470237,27149.00
53393,Kansas City,467990,27633.00
5501,Mesa,458860,24724.00
25805,Atlanta,448901,37175.00
132329,Virginia Beach,448290,32269.00
16762,Colorado Springs,442040,29704.00
60447,Omaha,440034,27904.00
23235,Miami,424632,22493.00
58560,Raleigh,423287,
14813,Oakland,408073,33505.00
51039,Minneapolis,399950,32647.00
77627,Tulsa,395599,
74857,Cleveland,392114,
37819,Wichita,387147,24927.00
94104,Arlington,379716,25368.00
41123,New Orleans,376738,27721.00
13917,Bakersfield,363612,23962.00
23521,Tampa,355603,30269.00
16697,Aurora,345867,25115.00
13879,Anaheim,345578,24314.00
15056,Santa Ana,333268,16335.00
53747,St. Louis,317850,23945.00
94367,Corpus Christi,316513,25481.00
14981,Riverside,316335,22568.00
39351,Lexington-Fayette,308306,30031.00
83451,Pittsburgh,305928,28097.00
15157,Stockton,299722,19897.00
262,Anchorage,299107,36920.00
74848,Cincinnati,297117,
51224,St. Paul,295043,26622.00
75707,Toledo,283932,
63394,Newark,279793,16791.00
58303,Greensboro,276225,
95275,Plano,275645,42366.00
65345,Henderson,271725,33428.00
60360,Lincoln,269726,26800.00
63302,Jersey City,259651,33426.00
70531,Buffalo,259517,20751.00
14101,Chula Vista,257296,25266.00
35805,Fort Wayne,257059,23799.00
23322,Orlando,256738,25866.00
23447,St. Petersburg,250713,28944.00
5340,Chandler,250202,33012.00
94893,Laredo,248855,15395.00
132171,Norfolk,245452,24657.00
136706,Madison,243122,32061.00
94995,Lubbock,240719,24010.00
58212,Durham,240107,
14476,Irvine,238474,43836.00
5425,Glendale,234844,21950.00
23046,Hialeah,234714,14128.00
58761,Winston-Salem,234469,
94597,Garland,234213,21465.00
65390,Reno,234161,26590.00
5423,Gilbert,230781,31873.00
131882,Chesapeake,230601,29703.00
40837,Baton Rouge,229186,24158.00
94766,Irving,228776,27153.00
5605,Scottsdale,227471,52220.00
65385,Paradise,226957,24303.00
65378,North Las Vegas,226860,20606.00
14340,Fremont,225221,41697.00
131790,Arlington,223945,63579.00
29207,Boise,214196,29289.00
15022,San Bernardino,214112,14271.00
